name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
United Arab Emirates,ARE,AED,18.0,3.673,51305.686,188420.13,2023-01-01
Argentina,ARG,ARS,980.0,184.69875,13655.2,1785086.952,2023-01-01
Australia,AUS,AUD,7.25,1.41854032200865,65526.118,94288.25,2023-01-01
Austria,AUT,EUR,4.48,0.9195,52264.871,49592.948,2023-01-01
Azerbaijan,AZE,AZN,4.9,1.7025,6826.434,11604.938,2023-01-01
Belgium,BEL,EUR,4.6,0.9195,50114.397,47552.412,2023-01-01
Bahrain,BHR,BHD,1.7,0.377,28784.993,10823.157,2023-01-01
Brazil,BRA,BRL,22.9,5.1581,8995.029,46352.586,2023-01-01
Canada,CAN,CAD,6.11,1.33595,55085.452,71696.733,2023-01-01
Switzerland,CHE,CHF,6.7,0.92315,92371.449,88209.2,2023-01-01
Chile,CHL,CLP,3800.0,800.425,15094.829,13180628.674,2023-01-01
China,CHN,CNY,24.0,6.78405,12813.765,86327.399,2023-01-01
Colombia,COL,COP,18900.0,4545.55,6664.269,28364423.943,2023-01-01
Costa Rica,CRI,CRC,2800.0,564.07,13077.23,8463768.322,2023-01-01
Czech Republic,CZE,CZK,99.0,21.94565,27612.934,644955.308,2023-01-01
Germany,DEU,EUR,4.76,0.9195,48636.03,46149.623,2023-01-01
Denmark,DNK,DKK,37.0,6.8401,66516.079,475244.368,2023-01-01
Egypt,EGY,EGP,55.0,29.845,4563.298,75305.832,2023-01-01
Spain,ESP,EUR,4.85,0.9195,29420.615,27916.552,2023-01-01
Estonia,EST,EUR,3.8,0.9195,28631.096,27167.397,2023-01-01
Euro area,EUZ,EUR,4.81,0.9195,40906.7034965197,38815.4366885561,2023-01-01
Finland,FIN,EUR,5.35,0.9195,50655.133,48065.504,2023-01-01
France,FRA,EUR,5.0,0.9195,42409.045,40240.979,2023-01-01
Britain,GBR,GBP,3.79,0.81205,45294.805,36614.167,2023-01-01
Greece,GRC,EUR,4.55,0.9195,20615.206,19561.301,2023-01-01
Guatemala,GTM,GTQ,27.0,7.8438,5004.742,38777.642,2023-01-01
Hong Kong,HKG,HKD,21.0,7.8307,49225.862,385508.237,2023-01-01
Honduras,HND,HNL,100.0,24.7,3061.969,75437.051,2023-01-01
Hungary,HUN,HUF,1350.0,359.4686,17301.218,6402525.585,2023-01-01
Indonesia,IDN,IDR,35000.0,14887.5,4798.119,71267226.008,2023-01-01
India,IND,INR,207.0,81.715,2379.209,191288.428,2023-01-01
Ireland,IRL,EUR,4.9,0.9195,103175.698,97901.075,2023-01-01
Israel,ISR,ILS,17.0,3.36365,54710.337,183854.317,2023-01-01
Italy,ITA,EUR,5.2,0.9195,34113.201,32369.241,2023-01-01
Jordan,JOR,JOD,2.5,0.71005,4740.941,3361.32,2023-01-01
Japan,JPN,JPY,410.0,130.1,33821.931,4447521.084,2023-01-01
South Korea,KOR,KRW,4900.0,1235.45,32250.409,41649683.283,2023-01-01
Kuwait,KWT,KWD,1.9,0.30535,38328.894,11738.23,2023-01-01
Lebanon,LBN,LBP,170000.0,38000.0,,,2023-01-01
Sri Lanka,LKA,LKR,1820.0,364.655,3362.075,1057719.543,2023-01-01
Lithuania,LTU,EUR,3.35,0.9195,25036.193,23756.275,2023-01-01
Latvia,LVA,EUR,3.4,0.9195,22347.97,21205.481,2023-01-01
Moldova,MDA,MDL,60.0,18.8411,5671.224,107406.553,2023-01-01
Mexico,MEX,MXN,79.0,18.838,10867.807,218740.162,2023-01-01
Malaysia,MYS,MYR,12.9,4.2855,12364.058,54199.521,2023-01-01
Nicaragua,NIC,NIO,154.0,36.45,2386.754,85698.246,2023-01-01
Netherlands,NLD,EUR,4.88,0.9195,56489.068,53601.193,2023-01-01
Norway,NOR,NOK,65.0,9.86415,106328.405,1022259.007,2023-01-01
New Zealand,NZL,NZD,7.5,1.53787004998078,47208.355,74233.989,2023-01-01
Oman,OMN,OMR,1.42,0.385,24772.462,9525.012,2023-01-01
Pakistan,PAK,PKR,780.0,230.2,1658.363,294898.818,2023-01-01
Peru,PER,PEN,13.9,3.8847,7094.448,27816.265,2023-01-01
Philippines,PHL,PHP,155.0,54.435,3623.389,197394.255,2023-01-01
Poland,POL,PLN,17.75,4.3373,18279.514,81470.882,2023-01-01
Portugal,PRT,EUR,4.4,0.9195,24522.077,23268.442,2023-01-01
Qatar,QAT,QAR,14.0,3.64175,84424.832,307306.388,2023-01-01
Romania,ROU,RON,12.3,4.51885,15851.136,74174.123,2023-01-01
Saudi Arabia,SAU,SAR,19.0,3.7545,31849.729,119436.482,2023-01-01
Singapore,SGP,SGD,5.9,1.32015,82807.649,114164.146,2023-01-01
Slovakia,SVK,EUR,4.0,0.9195,20889.59,19821.658,2023-01-01
Slovenia,SVN,EUR,3.5,0.9195,29502.336,27994.096,2023-01-01
Sweden,SWE,SEK,57.4,10.2154,55689.403,563256.613,2023-01-01
Thailand,THA,THB,128.0,32.8225,7650.884,247827.577,2023-01-01
Turkey,TUR,TRY,75.0,18.8055,10618.285,175968.271,2023-01-01
Taiwan,TWN,TWD,75.0,30.369,32643.218,973114.394,2023-01-01
Ukraine,UKR,UAH,92.0,36.917,4348.57,140644.541,2023-01-01
Uruguay,URY,UYU,268.0,39.125,20221.94,832490.102,2023-01-01
United States,USA,USD,5.36,1.0,76348.494,76348.494,2023-01-01
Venezuela,VEN,VES,56.3,20.7081,3459.154,23969.034,2023-01-01
Vietnam,VNM,VND,72000.0,23450.0,4086.519,95648144.299,2023-01-01
South Africa,ZAF,ZAR,49.9,17.21,6694.358,109536.433,2023-01-01
United Arab Emirates,ARE,AED,18.0,3.67305,51305.686,188420.13,2023-07-01
Argentina,ARG,ARS,1650.0,275.275,13655.2,1785086.952,2023-07-01
Australia,AUS,AUD,7.45,1.48400979446464,65526.118,94288.25,2023-07-01
Austria,AUT,EUR,4.81,0.90699,52264.871,49592.948,2023-07-01
Azerbaijan,AZE,AZN,5.95,1.7025,6826.434,11604.938,2023-07-01
Belgium,BEL,EUR,4.9,0.90699,50114.397,47552.412,2023-07-01
Bahrain,BHR,BHD,1.7,0.37695,28784.993,10823.157,2023-07-01
Brazil,BRA,BRL,22.9,4.75705,8995.029,46352.586,2023-07-01
Canada,CAN,CAD,7.05,1.31625,55085.452,71696.733,2023-07-01
Switzerland,CHE,CHF,6.7,0.86685,92371.449,88209.2,2023-07-01
Chile,CHL,CLP,3900.0,839.505,15094.829,13180628.674,2023-07-01
China,CHN,CNY,25.0,7.14355,12813.765,86327.399,2023-07-01
Colombia,COL,COP,18900.0,3882.915,6664.269,28364423.943,2023-07-01
Costa Rica,CRI,CRC,2950.0,544.875,13077.23,8463768.322,2023-07-01
Czech Republic,CZE,CZK,105.0,21.6516,27612.934,644955.308,2023-07-01
Germany,DEU,EUR,5.34,0.90699,48636.03,46149.623,2023-07-01
Denmark,DNK,DKK,38.2,6.7593,66516.079,475244.368,2023-07-01
Egypt,EGY,EGP,81.0,30.925,4563.298,75305.832,2023-07-01
Spain,ESP,EUR,5.2,0.90699,29420.615,27916.552,2023-07-01
Estonia,EST,EUR,4.45,0.90699,28631.096,27167.397,2023-07-01
Euro area,EUZ,EUR,5.28,0.90699,40906.7034965197,38815.4366885561,2023-07-01
Finland,FIN,EUR,5.95,0.90699,50655.133,48065.504,2023-07-01
France,FRA,EUR,5.3,0.90699,42409.045,40240.979,2023-07-01
Britain,GBR,GBP,4.19,0.77721,45294.805,36614.167,2023-07-01
Greece,GRC,EUR,4.7,0.90699,20615.206,19561.301,2023-07-01
Guatemala,GTM,GTQ,29.0,7.8689,5004.742,38777.642,2023-07-01
Hong Kong,HKG,HKD,23.0,7.7987,49225.862,385508.237,2023-07-01
Honduras,HND,HNL,102.0,24.62,3061.969,75437.051,2023-07-01
Croatia,HRV,EUR,4.09,0.90699,18427.262,17485.21,2023-07-01
Hungary,HUN,HUF,1400.0,351.0725,17301.218,6402525.585,2023-07-01
Indonesia,IDN,IDR,38000.0,15080.0,4798.119,71267226.008,2023-07-01
India,IND,INR,209.0,82.2488,2379.209,191288.428,2023-07-01
Ireland,IRL,EUR,5.1,0.90699,103175.698,97901.075,2023-07-01
Israel,ISR,ILS,17.0,3.66365,54710.337,183854.317,2023-07-01
Italy,ITA,EUR,5.8,0.90699,34113.201,32369.241,2023-07-01
Jordan,JOR,JOD,2.5,0.70895,4740.941,3361.32,2023-07-01
Japan,JPN,JPY,450.0,142.08,33821.931,4447521.084,2023-07-01
South Korea,KOR,KRW,5200.0,1274.65,32250.409,41649683.283,2023-07-01
Kuwait,KWT,KWD,1.4,0.3071,38328.894,11738.23,2023-07-01
Lebanon,LBN,LBP,430000.0,85500.0,,,2023-07-01
Sri Lanka,LKA,LKR,1820.0,327.5,3362.075,1057719.543,2023-07-01
Lithuania,LTU,EUR,3.85,0.90699,25036.193,23756.275,2023-07-01
Latvia,LVA,EUR,3.7,0.90699,22347.97,21205.481,2023-07-01
Moldova,MDA,MDL,63.0,17.665,5671.224,107406.553,2023-07-01
Mexico,MEX,MXN,89.0,16.7025,10867.807,218740.162,2023-07-01
Malaysia,MYS,MYR,13.15,4.509,12364.058,54199.521,2023-07-01
Nicaragua,NIC,NIO,159.0,36.55,2386.754,85698.246,2023-07-01
Netherlands,NLD,EUR,5.33,0.90699,56489.068,53601.193,2023-07-01
Norway,NOR,NOK,70.0,10.1165,106328.405,1022259.007,2023-07-01
New Zealand,NZL,NZD,8.1,1.60681288663935,47208.355,74233.989,2023-07-01
Oman,OMN,OMR,1.42,0.38505,24772.462,9525.012,2023-07-01
Pakistan,PAK,PKR,985.0,286.25,1658.363,294898.818,2023-07-01
Peru,PER,PEN,14.9,3.60375,7094.448,27816.265,2023-07-01
Philippines,PHL,PHP,155.0,54.925,3623.389,197394.255,2023-07-01
Poland,POL,PLN,19.9,3.9946,18279.514,81470.882,2023-07-01
Portugal,PRT,EUR,4.9,0.90699,24522.077,23268.442,2023-07-01
Qatar,QAT,QAR,14.0,3.64,84424.832,307306.388,2023-07-01
Romania,ROU,RON,14.5,4.4761,15851.136,74174.123,2023-07-01
Saudi Arabia,SAU,SAR,19.0,3.7516,31849.729,119436.482,2023-07-01
Singapore,SGP,SGD,6.45,1.3278,82807.649,114164.146,2023-07-01
Slovakia,SVK,EUR,4.3,0.90699,20889.59,19821.658,2023-07-01
Slovenia,SVN,EUR,3.6,0.90699,29502.336,27994.096,2023-07-01
Sweden,SWE,SEK,60.27,10.5075,55689.403,563256.613,2023-07-01
Thailand,THA,THB,128.0,34.22875,7650.884,247827.577,2023-07-01
Turkey,TUR,TRY,95.0,26.92675,10618.285,175968.271,2023-07-01
Taiwan,TWN,TWD,75.0,31.4265,32643.218,973114.394,2023-07-01
Ukraine,UKR,UAH,105.0,36.93145,4348.57,140644.541,2023-07-01
Uruguay,URY,UYU,259.0,37.765,20221.94,832490.102,2023-07-01
United States,USA,USD,5.58,1.0,76348.494,76348.494,2023-07-01
Vietnam,VNM,VND,74000.0,23687.5,4086.519,95648144.299,2023-07-01
South Africa,ZAF,ZAR,49.9,17.78375,6694.358,109536.433,2023-07-01
